company_id,year,computed_roce_pct,sector_median_roce,sector_p25_roce,sector_p75_roce,above_median,note
INDUSINDBK,2024,3.5632,5.4853,3.5239,14.3475,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
IRFC,2024,5.7506,5.4853,3.5239,14.3475,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
JIOFIN,2024,1.4287,5.4853,3.5239,14.3475,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
KOTAKBANK,2024,7.2312,5.4853,3.5239,14.3475,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
LICI,2024,57.5344,5.4853,3.5239,14.3475,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
PFC,2024,3.4931,5.4853,3.5239,14.3475,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
PNB,2024,20.2402,5.4853,3.5239,14.3475,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
RECLTD,2024,9.3085,5.4853,3.5239,14.3475,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
SBILIFE,2024,14.509,5.4853,3.5239,14.3475,Yes,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
SHRIRAMFIN,2024,4.3151,5.4853,3.5239,14.3475,No,Financials sector-relative benchmark (D/E high-leverage flag suppressed)
