company_id,year,cfo_sign,cfi_sign,cff_sign,pattern_label
BAJAJ-AUTO,2019,+,-,-,Reinvestor
BAJAJ-AUTO,2020,+,+,-,Liquidating Assets
BAJAJ-AUTO,2021,+,-,-,Reinvestor
BAJAJ-AUTO,2022,+,+,-,Liquidating Assets
BAJAJ-AUTO,2023,+,+,-,Liquidating Assets
BAJAJ-AUTO,2024,+,-,-,Reinvestor
BAJAJFINSV,2013,-,+,+,Distress Signal
BAJAJFINSV,2014,-,+,+,Distress Signal
BAJAJFINSV,2015,-,+,+,Distress Signal
BAJAJFINSV,2016,-,-,+,Growth Funded by Debt
BAJAJFINSV,2017,-,+,+,Distress Signal
BAJAJFINSV,2018,-,-,+,Growth Funded by Debt
BAJAJFINSV,2019,-,-,+,Growth Funded by Debt
BAJAJFINSV,2020,-,-,+,Growth Funded by Debt
BAJAJFINSV,2021,+,-,+,Mixed
BAJAJFINSV,2022,-,+,+,Distress Signal
BAJAJFINSV,2023,-,-,+,Growth Funded by Debt
BAJAJFINSV,2024,-,-,+,Growth Funded by Debt
BAJAJHLDNG,2013,+,-,-,Reinvestor
BAJAJHLDNG,2014,+,-,-,Reinvestor
BAJAJHLDNG,2015,+,-,-,Reinvestor
BAJAJHLDNG,2016,+,+,-,Liquidating Assets
BAJAJHLDNG,2017,-,-,-,Pre-Revenue
BAJAJHLDNG,2018,+,-,-,Reinvestor
BAJAJHLDNG,2019,+,-,-,Reinvestor
BAJAJHLDNG,2020,+,-,-,Reinvestor
BAJAJHLDNG,2021,+,-,-,Reinvestor
BAJAJHLDNG,2022,+,-,-,Reinvestor
BAJAJHLDNG,2023,+,-,-,Reinvestor
BAJAJHLDNG,2024,+,-,-,Reinvestor
BAJFINANCE,2015,-,-,+,Growth Funded by Debt
BAJFINANCE,2016,-,-,+,Growth Funded by Debt
BAJFINANCE,2017,-,-,+,Growth Funded by Debt
BAJFINANCE,2018,-,+,+,Distress Signal
BAJFINANCE,2019,-,-,+,Growth Funded by Debt
BAJFINANCE,2020,-,-,+,Growth Funded by Debt
BAJFINANCE,2021,-,-,+,Growth Funded by Debt
BAJFINANCE,2022,-,+,+,Distress Signal
BAJFINANCE,2023,-,-,+,Growth Funded by Debt
BAJFINANCE,2024,-,-,+,Growth Funded by Debt
BANKBARODA,2013,+,-,-,Shareholder Returns
BANKBARODA,2014,+,-,+,Mixed
BANKBARODA,2015,+,-,-,Shareholder Returns
BANKBARODA,2016,-,-,-,Pre-Revenue
BANKBARODA,2017,+,-,-,Shareholder Returns
BANKBARODA,2018,-,-,+,Growth Funded by Debt
BANKBARODA,2019,-,-,+,Growth Funded by Debt
BANKBARODA,2020,+,-,+,Mixed
BANKBARODA,2021,-,-,-,Pre-Revenue
BANKBARODA,2022,+,-,-,Reinvestor
BANKBARODA,2023,-,-,-,Pre-Revenue
BANKBARODA,2024,-,-,+,Growth Funded by Debt
BEL,2013,-,+,-,Mixed
BEL,2014,-,+,-,Mixed
BEL,2015,+,-,-,Shareholder Returns
BEL,2016,+,-,-,Shareholder Returns
BEL,2017,-,+,-,Mixed
BEL,2018,-,-,-,Pre-Revenue
BEL,2019,+,-,-,Reinvestor
BEL,2020,+,-,-,Shareholder Returns
BEL,2021,+,-,-,Shareholder Returns
BEL,2022,+,-,-,Shareholder Returns
BEL,2023,+,+,-,Liquidating Assets
BEL,2024,+,-,-,Shareholder Returns
BHARTIARTL,2013,+,-,-,Shareholder Returns
BHARTIARTL,2014,+,-,+,Mixed
BHARTIARTL,2015,+,-,-,Shareholder Returns
BHARTIARTL,2016,+,-,-,Shareholder Returns
BHARTIARTL,2017,+,-,-,Shareholder Returns
BHARTIARTL,2018,+,-,+,Mixed
BHARTIARTL,2019,+,-,+,Mixed
BHARTIARTL,2020,+,-,+,Mixed
BHARTIARTL,2021,+,-,-,Reinvestor
BHARTIARTL,2022,+,-,-,Shareholder Returns
BHARTIARTL,2023,+,-,-,Shareholder Returns
BHARTIARTL,2024,+,-,-,Shareholder Returns
BHEL,2013,+,-,+,Mixed
BHEL,2014,+,-,+,Mixed
BHEL,2015,+,+,-,Liquidating Assets
BHEL,2016,+,+,-,Liquidating Assets
BHEL,2017,+,-,-,Shareholder Returns
BHEL,2018,+,+,-,Liquidating Assets
BHEL,2019,-,+,-,Mixed
BHEL,2020,-,+,+,Distress Signal
BHEL,2021,+,-,-,Reinvestor
BHEL,2022,+,-,-,Shareholder Returns
BHEL,2023,-,+,+,Distress Signal
BHEL,2024,-,+,+,Distress Signal
BOSCHLTD,2012,+,-,-,Reinvestor
BOSCHLTD,2013,+,-,-,Shareholder Returns
BOSCHLTD,2015,+,-,-,Shareholder Returns
BOSCHLTD,2016,+,-,-,Reinvestor
BOSCHLTD,2017,+,+,-,Liquidating Assets
BOSCHLTD,2018,+,-,-,Shareholder Returns
BOSCHLTD,2019,+,+,-,Liquidating Assets
BOSCHLTD,2020,+,-,-,Shareholder Returns
BOSCHLTD,2021,+,-,-,Shareholder Returns
BOSCHLTD,2022,+,-,-,Reinvestor
BOSCHLTD,2023,+,+,-,Liquidating Assets
BOSCHLTD,2024,+,+,-,Liquidating Assets
BPCL,2013,+,-,-,Shareholder Returns
BPCL,2014,+,-,-,Shareholder Returns
BPCL,2015,+,-,-,Shareholder Returns
BPCL,2016,+,-,-,Shareholder Returns
BPCL,2017,+,-,+,Mixed
BPCL,2018,+,-,-,Shareholder Returns
BPCL,2019,+,-,+,Mixed
BPCL,2020,+,-,+,Mixed
BPCL,2021,+,-,-,Shareholder Returns
BPCL,2022,+,-,-,Shareholder Returns
BPCL,2023,+,-,-,Shareholder Returns
BPCL,2024,+,-,-,Shareholder Returns
BRITANNIA,2013,+,+,-,Liquidating Assets
BRITANNIA,2014,+,-,-,Shareholder Returns
BRITANNIA,2015,+,-,-,Reinvestor
BRITANNIA,2016,+,-,-,Shareholder Returns
BRITANNIA,2017,+,-,-,Reinvestor
BRITANNIA,2018,+,-,-,Shareholder Returns
BRITANNIA,2019,+,-,-,Shareholder Returns
BRITANNIA,2020,+,-,+,Mixed
BRITANNIA,2021,+,+,-,Liquidating Assets
BRITANNIA,2022,+,+,-,Liquidating Assets
BRITANNIA,2023,+,-,-,Shareholder Returns
BRITANNIA,2024,+,+,-,Liquidating Assets
CANBK,2013,+,-,-,Shareholder Returns
CANBK,2014,+,-,-,Shareholder Returns
CANBK,2015,+,-,-,Shareholder Returns
CANBK,2016,+,-,-,Reinvestor
CANBK,2017,+,-,+,Mixed
CANBK,2018,-,-,+,Growth Funded by Debt
CANBK,2019,+,-,-,Shareholder Returns
CANBK,2020,-,-,+,Growth Funded by Debt
CANBK,2021,+,-,+,Mixed
CANBK,2022,+,-,+,Mixed
CANBK,2023,-,-,+,Growth Funded by Debt
CANBK,2024,+,-,-,Reinvestor
CHOLAFIN,2013,-,+,+,Distress Signal
CHOLAFIN,2014,-,-,+,Growth Funded by Debt
CHOLAFIN,2015,-,-,+,Growth Funded by Debt
CHOLAFIN,2016,-,-,+,Growth Funded by Debt
CHOLAFIN,2017,-,-,+,Growth Funded by Debt
CHOLAFIN,2018,-,-,+,Growth Funded by Debt
CHOLAFIN,2019,-,-,+,Growth Funded by Debt
CHOLAFIN,2020,-,-,+,Growth Funded by Debt
CHOLAFIN,2021,-,-,+,Growth Funded by Debt
CHOLAFIN,2022,-,+,+,Distress Signal
CHOLAFIN,2023,-,-,+,Growth Funded by Debt
CHOLAFIN,2024,-,-,+,Growth Funded by Debt
CIPLA,2013,+,-,+,Mixed
CIPLA,2014,+,-,-,Shareholder Returns
CIPLA,2015,+,-,+,Mixed
CIPLA,2016,+,-,+,Mixed
CIPLA,2017,+,-,-,Shareholder Returns
CIPLA,2018,+,-,-,Shareholder Returns
CIPLA,2019,+,-,-,Shareholder Returns
CIPLA,2020,+,+,-,Liquidating Assets
CIPLA,2021,+,-,-,Shareholder Returns
CIPLA,2022,+,-,-,Shareholder Returns
CIPLA,2023,+,-,-,Shareholder Returns
CIPLA,2024,+,-,-,Reinvestor
COALINDIA,2013,+,-,-,Reinvestor
COALINDIA,2014,+,+,-,Liquidating Assets
COALINDIA,2015,+,+,-,Liquidating Assets
COALINDIA,2016,+,+,-,Liquidating Assets
COALINDIA,2017,+,+,-,Liquidating Assets
COALINDIA,2018,+,-,-,Shareholder Returns
COALINDIA,2019,+,-,-,Reinvestor
COALINDIA,2020,+,+,-,Liquidating Assets
COALINDIA,2021,+,+,-,Liquidating Assets
COALINDIA,2022,+,-,-,Shareholder Returns
COALINDIA,2023,+,-,-,Shareholder Returns
COALINDIA,2024,+,-,-,Reinvestor
DABUR,2013,+,-,-,Shareholder Returns
DABUR,2014,+,-,-,Shareholder Returns
DABUR,2015,+,-,-,Reinvestor
DABUR,2016,+,-,-,Reinvestor
DABUR,2017,+,-,-,Reinvestor
DABUR,2018,+,-,-,Reinvestor
DABUR,2019,+,+,-,Liquidating Assets
DABUR,2020,+,-,-,Shareholder Returns
DABUR,2021,+,-,-,Shareholder Returns
DABUR,2022,+,-,-,Shareholder Returns
DABUR,2023,+,-,-,Reinvestor
DABUR,2024,+,-,-,Shareholder Returns
DIVISLAB,2013,+,-,-,Reinvestor
DIVISLAB,2014,+,-,-,Reinvestor
DIVISLAB,2015,+,-,-,Reinvestor
DIVISLAB,2016,+,-,-,Reinvestor
DIVISLAB,2017,+,-,+,Mixed
DIVISLAB,2018,+,-,-,Reinvestor
DIVISLAB,2019,+,-,-,Reinvestor
DIVISLAB,2020,+,-,-,Reinvestor
DIVISLAB,2021,+,+,-,Liquidating Assets
DIVISLAB,2022,+,-,-,Reinvestor
DIVISLAB,2023,+,-,-,Shareholder Returns
DIVISLAB,2024,+,-,-,Reinvestor
DLF,2013,+,+,-,Liquidating Assets
DLF,2014,+,+,-,Liquidating Assets
DLF,2015,+,+,-,Liquidating Assets
DLF,2016,+,-,-,Shareholder Returns
DLF,2017,-,+,+,Distress Signal
DLF,2018,+,-,-,Reinvestor
DLF,2019,+,+,+,Cash Accumulator
DLF,2020,+,+,-,Liquidating Assets
DLF,2021,+,+,-,Liquidating Assets
DLF,2022,+,+,-,Liquidating Assets
DLF,2023,+,-,-,Shareholder Returns
DLF,2024,+,-,+,Mixed
DMART,2013,+,-,+,Mixed
DMART,2014,+,-,+,Mixed
DMART,2015,+,-,+,Mixed
DMART,2016,+,-,+,Mixed
DMART,2017,+,-,+,Mixed
DMART,2018,+,+,-,Liquidating Assets
DMART,2019,+,-,+,Mixed
DMART,2020,+,-,+,Mixed
DMART,2021,+,-,-,Shareholder Returns
DMART,2022,+,-,-,Reinvestor
DMART,2023,+,-,-,Shareholder Returns
DMART,2024,+,-,-,Shareholder Returns
DRREDDY,2013,+,-,-,Reinvestor
DRREDDY,2014,+,-,-,Shareholder Returns
DRREDDY,2015,+,-,-,Shareholder Returns
DRREDDY,2016,+,-,-,Shareholder Returns
DRREDDY,2017,+,-,-,Shareholder Returns
DRREDDY,2018,+,-,-,Shareholder Returns
DRREDDY,2019,+,-,-,Shareholder Returns
DRREDDY,2020,+,-,-,Shareholder Returns
DRREDDY,2021,+,-,-,Shareholder Returns
DRREDDY,2022,+,-,-,Shareholder Returns
DRREDDY,2023,+,-,-,Shareholder Returns
DRREDDY,2024,+,-,-,Reinvestor
EICHERMOT,2012,+,-,-,Shareholder Returns
EICHERMOT,2013,+,-,-,Shareholder Returns
EICHERMOT,2014,+,-,-,Shareholder Returns
EICHERMOT,2016,+,-,-,Shareholder Returns
EICHERMOT,2017,+,-,+,Mixed
EICHERMOT,2018,+,-,-,Shareholder Returns
EICHERMOT,2019,+,-,-,Reinvestor
EICHERMOT,2020,+,-,-,Reinvestor
EICHERMOT,2021,+,-,-,Shareholder Returns
EICHERMOT,2022,+,-,-,Reinvestor
EICHERMOT,2023,+,-,-,Reinvestor
EICHERMOT,2024,+,-,-,Reinvestor
GAIL,2013,+,-,+,Mixed
GAIL,2014,+,-,-,Reinvestor
GAIL,2015,+,-,-,Shareholder Returns
GAIL,2016,+,-,-,Shareholder Returns
GAIL,2017,+,-,-,Shareholder Returns
GAIL,2018,+,-,-,Shareholder Returns
GAIL,2019,+,-,-,Shareholder Returns
GAIL,2020,+,-,+,Mixed
GAIL,2021,+,-,-,Shareholder Returns
GAIL,2022,+,-,-,Reinvestor
GAIL,2023,+,-,+,Mixed
GAIL,2024,+,-,-,Shareholder Returns
GODREJCP,2013,+,-,+,Mixed
GODREJCP,2014,+,-,-,Shareholder Returns
GODREJCP,2015,+,-,-,Shareholder Returns
GODREJCP,2016,+,-,-,Shareholder Returns
GODREJCP,2017,+,-,+,Mixed
GODREJCP,2018,+,-,-,Shareholder Returns
GODREJCP,2019,+,+,-,Liquidating Assets
GODREJCP,2020,+,-,-,Shareholder Returns
GODREJCP,2021,+,-,-,Shareholder Returns
GODREJCP,2022,+,-,-,Reinvestor
GODREJCP,2023,+,-,-,Shareholder Returns
GODREJCP,2024,+,-,+,Mixed
GRASIM,2013,+,-,+,Mixed
GRASIM,2014,+,-,-,Shareholder Returns
GRASIM,2015,+,-,-,Shareholder Returns
GRASIM,2016,+,-,-,Shareholder Returns
GRASIM,2017,+,-,-,Shareholder Returns
GRASIM,2018,-,+,+,Distress Signal
GRASIM,2019,-,-,+,Growth Funded by Debt
GRASIM,2020,+,-,-,Shareholder Returns
GRASIM,2021,+,-,-,Shareholder Returns
GRASIM,2022,+,-,-,Reinvestor
GRASIM,2023,-,-,+,Growth Funded by Debt
GRASIM,2024,-,-,+,Growth Funded by Debt
HAL,2013,-,-,-,Pre-Revenue
HAL,2014,-,-,-,Pre-Revenue
HAL,2015,-,-,-,Pre-Revenue
HAL,2016,-,-,-,Pre-Revenue
HAL,2017,-,+,-,Mixed
HAL,2018,-,+,-,Mixed
HAL,2019,-,+,+,Distress Signal
HAL,2020,+,-,+,Mixed
HAL,2021,+,-,-,Shareholder Returns
HAL,2022,+,-,-,Shareholder Returns
HAL,2023,+,-,-,Shareholder Returns
HAL,2024,+,-,-,Shareholder Returns
HAVELLS,2013,+,-,-,Shareholder Returns
HAVELLS,2014,+,-,-,Shareholder Returns
HAVELLS,2015,+,-,-,Shareholder Returns
HAVELLS,2016,+,-,-,Reinvestor
HAVELLS,2017,+,-,-,Shareholder Returns
HAVELLS,2018,+,-,-,Shareholder Returns
HAVELLS,2019,+,+,-,Liquidating Assets
HAVELLS,2020,+,-,-,Shareholder Returns
HAVELLS,2021,+,-,+,Mixed
HAVELLS,2022,+,-,-,Shareholder Returns
HAVELLS,2023,+,+,-,Liquidating Assets
HAVELLS,2024,+,-,-,Shareholder Returns
HCLTECH,2013,+,-,-,Shareholder Returns
HCLTECH,2014,+,-,-,Reinvestor
