company_id,year,previous_pattern,current_pattern
DIVISLAB,2024,Shareholder Returns,Reinvestor
DLF,2016,Liquidating Assets,Shareholder Returns
DLF,2017,Shareholder Returns,Distress Signal
DLF,2018,Distress Signal,Reinvestor
DLF,2019,Reinvestor,Cash Accumulator
DLF,2020,Cash Accumulator,Liquidating Assets
DLF,2023,Liquidating Assets,Shareholder Returns
DLF,2024,Shareholder Returns,Mixed
DMART,2018,Mixed,Liquidating Assets
DMART,2019,Liquidating Assets,Mixed
DMART,2021,Mixed,Shareholder Returns
DMART,2022,Shareholder Returns,Reinvestor
DMART,2023,Reinvestor,Shareholder Returns
DRREDDY,2014,Reinvestor,Shareholder Returns
DRREDDY,2024,Shareholder Returns,Reinvestor
EICHERMOT,2017,Shareholder Returns,Mixed
EICHERMOT,2018,Mixed,Shareholder Returns
EICHERMOT,2019,Shareholder Returns,Reinvestor
EICHERMOT,2021,Reinvestor,Shareholder Returns
EICHERMOT,2022,Shareholder Returns,Reinvestor
GAIL,2014,Mixed,Reinvestor
GAIL,2015,Reinvestor,Shareholder Returns
GAIL,2020,Shareholder Returns,Mixed
GAIL,2021,Mixed,Shareholder Returns
GAIL,2022,Shareholder Returns,Reinvestor
GAIL,2023,Reinvestor,Mixed
GAIL,2024,Mixed,Shareholder Returns
GODREJCP,2014,Mixed,Shareholder Returns
GODREJCP,2017,Shareholder Returns,Mixed
GODREJCP,2018,Mixed,Shareholder Returns
GODREJCP,2019,Shareholder Returns,Liquidating Assets
GODREJCP,2020,Liquidating Assets,Shareholder Returns
GODREJCP,2022,Shareholder Returns,Reinvestor
GODREJCP,2023,Reinvestor,Shareholder Returns
GODREJCP,2024,Shareholder Returns,Mixed
GRASIM,2014,Mixed,Shareholder Returns
GRASIM,2018,Shareholder Returns,Distress Signal
GRASIM,2019,Distress Signal,Growth Funded by Debt
GRASIM,2020,Growth Funded by Debt,Shareholder Returns
GRASIM,2022,Shareholder Returns,Reinvestor
GRASIM,2023,Reinvestor,Growth Funded by Debt
HAL,2017,Pre-Revenue,Mixed
HAL,2019,Mixed,Distress Signal
HAL,2020,Distress Signal,Mixed
HAL,2021,Mixed,Shareholder Returns
HAVELLS,2016,Shareholder Returns,Reinvestor
HAVELLS,2017,Reinvestor,Shareholder Returns
HAVELLS,2019,Shareholder Returns,Liquidating Assets
HAVELLS,2020,Liquidating Assets,Shareholder Returns
HAVELLS,2021,Shareholder Returns,Mixed
HAVELLS,2022,Mixed,Shareholder Returns
HAVELLS,2023,Shareholder Returns,Liquidating Assets
HAVELLS,2024,Liquidating Assets,Shareholder Returns
HCLTECH,2014,Shareholder Returns,Reinvestor
HCLTECH,2017,Reinvestor,Shareholder Returns
HCLTECH,2018,Shareholder Returns,Reinvestor
HCLTECH,2020,Reinvestor,Shareholder Returns
HCLTECH,2022,Shareholder Returns,Liquidating Assets
HCLTECH,2023,Liquidating Assets,Shareholder Returns
HDFCBANK,2014,Growth Funded by Debt,Mixed
HDFCBANK,2015,Mixed,Growth Funded by Debt
HDFCBANK,2017,Growth Funded by Debt,Shareholder Returns
HDFCBANK,2018,Shareholder Returns,Mixed
HDFCBANK,2019,Mixed,Growth Funded by Debt
HDFCBANK,2021,Growth Funded by Debt,Shareholder Returns
HDFCBANK,2022,Shareholder Returns,Growth Funded by Debt
HDFCBANK,2023,Growth Funded by Debt,Mixed
HDFCBANK,2024,Mixed,Liquidating Assets
HDFCLIFE,2015,Pre-Revenue,Shareholder Returns
HDFCLIFE,2020,Shareholder Returns,Mixed
HDFCLIFE,2022,Mixed,Shareholder Returns
HDFCLIFE,2023,Shareholder Returns,Mixed
HDFCLIFE,2024,Mixed,Shareholder Returns
HEROMOTOCO,2015,Shareholder Returns,Liquidating Assets
HEROMOTOCO,2016,Liquidating Assets,Shareholder Returns
HEROMOTOCO,2019,Shareholder Returns,Liquidating Assets
HEROMOTOCO,2020,Liquidating Assets,Shareholder Returns
HEROMOTOCO,2022,Shareholder Returns,Reinvestor
HEROMOTOCO,2024,Reinvestor,Shareholder Returns
HINDALCO,2015,Mixed,Shareholder Returns
HINDALCO,2016,Shareholder Returns,Reinvestor
HINDALCO,2017,Reinvestor,Shareholder Returns
HINDALCO,2018,Shareholder Returns,Liquidating Assets
HINDALCO,2019,Liquidating Assets,Shareholder Returns
HINDALCO,2020,Shareholder Returns,Mixed
HINDALCO,2021,Mixed,Shareholder Returns
HINDUNILVR,2014,Liquidating Assets,Reinvestor
HINDUNILVR,2015,Reinvestor,Liquidating Assets
HINDUNILVR,2016,Liquidating Assets,Shareholder Returns
HINDUNILVR,2019,Shareholder Returns,Reinvestor
HINDUNILVR,2020,Reinvestor,Liquidating Assets
HINDUNILVR,2021,Liquidating Assets,Shareholder Returns
HINDUNILVR,2023,Shareholder Returns,Reinvestor
HINDUNILVR,2024,Reinvestor,Shareholder Returns
ICICIBANK,2015,Mixed,Growth Funded by Debt
ICICIBANK,2016,Growth Funded by Debt,Mixed
ICICIBANK,2017,Mixed,Shareholder Returns
ICICIBANK,2018,Shareholder Returns,Mixed
ICICIBANK,2019,Mixed,Shareholder Returns
ICICIBANK,2020,Shareholder Returns,Mixed
ICICIBANK,2021,Mixed,Shareholder Returns
ICICIBANK,2022,Shareholder Returns,Mixed
ICICIBANK,2023,Mixed,Growth Funded by Debt
ICICIBANK,2024,Growth Funded by Debt,Mixed
ICICIGI,2016,Mixed,Shareholder Returns
ICICIGI,2017,Shareholder Returns,Mixed
ICICIGI,2018,Mixed,Shareholder Returns
ICICIGI,2022,Shareholder Returns,Liquidating Assets
ICICIGI,2023,Liquidating Assets,Shareholder Returns
ICICIPRULI,2015,Mixed,Reinvestor
ICICIPRULI,2016,Reinvestor,Liquidating Assets
ICICIPRULI,2017,Liquidating Assets,Shareholder Returns
ICICIPRULI,2021,Shareholder Returns,Mixed
ICICIPRULI,2022,Mixed,Shareholder Returns
ICICIPRULI,2023,Shareholder Returns,Reinvestor
ICICIPRULI,2024,Reinvestor,Mixed
INDIGO,2015,Mixed,Shareholder Returns
INDIGO,2018,Shareholder Returns,Mixed
INDIGO,2019,Mixed,Shareholder Returns
INDIGO,2020,Shareholder Returns,Reinvestor
INDIGO,2021,Reinvestor,Mixed
INDIGO,2022,Mixed,Liquidating Assets
INDIGO,2023,Liquidating Assets,Reinvestor
INDIGO,2024,Reinvestor,Shareholder Returns
INDUSINDBK,2017,Growth Funded by Debt,Shareholder Returns
INDUSINDBK,2018,Shareholder Returns,Growth Funded by Debt
INDUSINDBK,2020,Growth Funded by Debt,Distress Signal
INDUSINDBK,2021,Distress Signal,Shareholder Returns
INDUSINDBK,2023,Shareholder Returns,Growth Funded by Debt
INDUSINDBK,2024,Growth Funded by Debt,Pre-Revenue
